Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,Extra-courses did,certifications,workshops,reading and writing skills,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,Taken inputs from seniors or elders,Interested Type of Books,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
2,3,5,1,yes,no,r programming,hacking,excellent,medium,networks,developer,Cloud Services,no,Satire,Technical,hard worker,yes,yes,Applications Developer
6,2,3,9,no,yes,information security,game development,excellent,excellent,hacking,testing,Testing and Maintainance Services,yes,Dictionaries,Management,hard worker,no,yes,Applications Developer
2,0,8,7,no,no,information security,database security,excellent,poor,data engineering,cloud computing,Product based,no,Health,Technical,smart worker,no,yes,Applications Developer
3,2,1,2,yes,yes,distro making,database security,excellent,medium,Computer Architecture,security,Cloud Services,no,Horror,Technical,smart worker,no,no,Applications Developer
2,3,2,9,yes,no,information security,data science,excellent,excellent,hacking,system developer,Sales and Marketing,yes,Series,Management,smart worker,no,yes,Applications Developer
5,5,2,6,no,no,r programming,cloud computing,medium,poor,cloud computing,Business process analyst,SAaS services,yes,Self help,Management,hard worker,no,yes,Applications Developer
3,5,6,4,yes,yes,hadoop,game development,excellent,poor,cloud computing,testing,BPA,no,Guide,Management,smart worker,yes,no,Applications Developer
1,2,8,9,yes,no,hadoop,system designing,medium,poor,networks,cloud computing,SAaS services,yes,Encyclopedias,Management,hard worker,no,no,Applications Developer
6,1,9,7,no,yes,information security,hacking,excellent,poor,Management,Business process analyst,product development,no,History,Management,smart worker,yes,yes,Applications Developer
9,0,3,5,no,yes,information security,database security,poor,poor,IOT,system developer,SAaS services,yes,Religion-Spirituality,Technical,hard worker,no,yes,Applications Developer
9,6,5,4,yes,no,hadoop,cloud computing,medium,poor,parallel computing,Business process analyst,Sales and Marketing,yes,Cookbooks,Technical,hard worker,no,no,Applications Developer
8,4,4,5,no,no,information security,game development,poor,poor,programming,security,Web Services,yes,Math,Management,smart worker,yes,no,Applications Developer
9,6,6,2,no,yes,full stack,system designing,medium,poor,Management,system developer,BPA,no,Biographies,Management,smart worker,no,no,Applications Developer
6,5,5,7,no,no,full stack,testing,medium,excellent,cloud computing,Business process analyst,Product based,no,Drama,Technical,smart worker,no,no,Applications Developer
2,3,4,4,yes,no,shell programming,system designing,excellent,medium,cloud computing,Business process analyst,Finance,no,Journals,Management,smart worker,no,yes,Applications Developer
9,0,8,4,no,no,information security,system designing,poor,medium,programming,developer,Finance,no,Health,Technical,smart worker,no,no,Applications Developer
4,2,9,3,no,no,shell programming,game development,medium,medium,parallel computing,system developer,BPA,no,Anthology,Technical,smart worker,no,no,Applications Developer
5,3,7,1,no,yes,shell programming,system designing,excellent,medium,cloud computing,security,Sales and Marketing,no,Biographies,Technical,hard worker,no,yes,Applications Developer
9,0,9,7,yes,no,app development,data science,poor,medium,Computer Architecture,security,SAaS services,no,History,Management,hard worker,yes,no,Applications Developer
1,2,5,4,yes,yes,hadoop,game development,excellent,poor,data engineering,Business process analyst,Web Services,yes,Diaries,Management,smart worker,yes,no,Applications Developer
6,0,2,7,yes,yes,r programming,game development,excellent,excellent,hacking,Business process analyst,BPA,yes,Health,Management,hard worker,no,yes,Applications Developer
7,1,6,6,no,no,app development,cloud computing,excellent,excellent,networks,security,product development,yes,Self help,Management,hard worker,yes,no,Applications Developer
5,0,5,1,yes,no,hadoop,game development,excellent,excellent,cloud computing,cloud computing,BPA,no,Science fiction,Technical,smart worker,no,yes,Applications Developer
8,2,3,6,yes,no,shell programming,web technologies,excellent,excellent,cloud computing,testing,product development,yes,Science fiction,Technical,hard worker,yes,no,Applications Developer
2,3,9,4,no,no,machine learning,database security,poor,poor,hacking,cloud computing,Finance,no,Poetry,Management,smart worker,yes,no,Applications Developer
4,0,4,5,no,yes,information security,testing,poor,poor,parallel computing,Business process analyst,Finance,no,Romance,Technical,smart worker,yes,yes,Applications Developer
8,1,8,6,yes,no,r programming,system designing,medium,excellent,data engineering,security,Cloud Services,no,Horror,Technical,hard worker,no,yes,Applications Developer
1,1,5,5,yes,no,app development,web technologies,excellent,poor,Computer Architecture,testing,Finance,no,Self help,Technical,smart worker,no,no,Applications Developer
6,0,2,3,yes,no,python,cloud computing,poor,excellent,Management,system developer,BPA,yes,Self help,Management,hard worker,yes,yes,Applications Developer
7,5,2,8,yes,no,hadoop,cloud computing,poor,medium,Management,security,SAaS services,no,Science,Technical,hard worker,no,no,Applications Developer
8,1,1,5,yes,yes,shell programming,web technologies,poor,medium,networks,security,Sales and Marketing,yes,Biographies,Technical,hard worker,no,yes,Applications Developer
7,4,2,8,yes,no,app development,hacking,poor,poor,cloud computing,Business process analyst,Web Services,no,Dictionaries,Management,hard worker,no,yes,Applications Developer
2,2,2,1,no,yes,shell programming,data science,excellent,excellent,programming,security,BPA,no,Diaries,Technical,hard worker,no,yes,Applications Developer
6,2,8,1,yes,yes,r programming,data science,excellent,poor,networks,cloud computing,Product based,yes,Action and Adventure,Management,smart worker,no,yes,Applications Developer
9,2,6,9,yes,yes,machine learning,cloud computing,excellent,excellent,data engineering,developer,Sales and Marketing,yes,History,Technical,smart worker,yes,yes,Applications Developer
4,3,5,2,no,yes,hadoop,system designing,excellent,poor,Computer Architecture,cloud computing,BPA,yes,Cookbooks,Management,hard worker,no,yes,Applications Developer
4,0,9,3,yes,no,information security,cloud computing,poor,medium,parallel computing,developer,Service Based,yes,Self help,Management,hard worker,no,yes,Applications Developer
1,5,1,8,no,no,machine learning,hacking,medium,medium,hacking,Business process analyst,Finance,no,Satire,Management,hard worker,yes,yes,Applications Developer
2,2,8,3,no,no,machine learning,system designing,poor,excellent,hacking,testing,SAaS services,yes,Series,Technical,hard worker,no,yes,Applications Developer
6,2,1,8,yes,yes,hadoop,web technologies,excellent,excellent,programming,security,Web Services,yes,Trilogy,Management,hard worker,no,no,Applications Developer
9,0,6,1,yes,no,r programming,data science,poor,poor,data engineering,developer,Testing and Maintainance Services,yes,Poetry,Technical,smart worker,yes,yes,Applications Developer
9,5,5,4,yes,yes,shell programming,game development,excellent,poor,networks,Business process analyst,product development,yes,Autobiographies,Management,smart worker,no,yes,Applications Developer
5,0,1,7,yes,no,hadoop,system designing,excellent,medium,parallel computing,system developer,Service Based,no,Science,Technical,hard worker,yes,yes,Applications Developer
5,5,7,8,yes,no,machine learning,game development,medium,poor,networks,system developer,Finance,yes,Self help,Management,smart worker,no,no,Applications Developer
3,0,7,9,no,yes,full stack,system designing,medium,poor,data engineering,security,product development,yes,Science fiction,Technical,hard worker,no,no,Applications Developer
2,6,6,1,no,yes,hadoop,cloud computing,poor,medium,IOT,Business process analyst,Sales and Marketing,no,Prayer books,Technical,hard worker,yes,yes,Applications Developer
3,1,1,8,no,no,r programming,data science,excellent,poor,parallel computing,developer,Product based,yes,Travel,Management,smart worker,yes,yes,Applications Developer
6,0,4,4,yes,yes,r programming,cloud computing,excellent,medium,IOT,developer,Finance,yes,Biographies,Technical,smart worker,yes,no,Applications Developer
1,0,9,2,no,no,hadoop,system designing,poor,excellent,data engineering,system developer,Web Services,no,Comics,Technical,smart worker,yes,yes,Applications Developer
7,6,9,3,no,yes,full stack,testing,medium,medium,hacking,Business process analyst,SAaS services,no,Prayer books,Technical,hard worker,no,yes,Applications Developer
4,6,4,6,no,no,hadoop,testing,medium,poor,cloud computing,cloud computing,Cloud Services,no,Guide,Management,hard worker,yes,yes,Applications Developer
4,5,4,4,yes,no,hadoop,hacking,excellent,medium,Computer Architecture,cloud computing,Finance,yes,Comics,Technical,hard worker,yes,yes,Applications Developer
9,4,6,4,no,yes,information security,cloud computing,medium,excellent,programming,security,Cloud Services,yes,Drama,Management,smart worker,no,yes,Applications Developer
8,6,1,8,no,no,r programming,database security,excellent,poor,programming,testing,Testing and Maintainance Services,yes,Health,Technical,hard worker,no,yes,Applications Developer
1,6,4,5,no,yes,full stack,hacking,medium,excellent,cloud computing,testing,Service Based,yes,Health,Management,smart worker,no,no,Applications Developer
2,4,5,3,yes,yes,machine learning,data science,medium,excellent,cloud computing,cloud computing,Testing and Maintainance Services,yes,Religion-Spirituality,Management,smart worker,yes,no,Applications Developer
6,4,3,3,yes,yes,r programming,testing,medium,excellent,networks,Business process analyst,Sales and Marketing,no,Self help,Technical,smart worker,no,yes,Applications Developer
4,2,7,3,yes,yes,information security,web technologies,excellent,medium,networks,developer,Testing and Maintainance Services,yes,Health,Management,smart worker,yes,no,Applications Developer
1,4,7,6,yes,yes,r programming,data science,excellent,poor,Computer Architecture,testing,Service Based,no,Travel,Management,hard worker,no,yes,Applications Developer
5,5,3,1,yes,yes,python,web technologies,excellent,excellent,IOT,security,BPA,no,Health,Technical,hard worker,yes,yes,Applications Developer
4,0,7,2,no,no,distro making,system designing,excellent,excellent,parallel computing,testing,Testing and Maintainance Services,no,Science,Management,smart worker,no,yes,Applications Developer
9,4,3,5,no,yes,app development,data science,poor,excellent,Computer Architecture,cloud computing,Web Services,no,Religion-Spirituality,Management,smart worker,yes,yes,Applications Developer
3,2,4,4,yes,no,app development,cloud computing,excellent,poor,programming,Business process analyst,Service Based,no,Guide,Management,hard worker,no,yes,Applications Developer
3,3,9,7,no,yes,r programming,game development,poor,poor,Software Engineering,system developer,product development,yes,Science,Management,hard worker,yes,no,Applications Developer
6,2,8,9,no,yes,python,data science,medium,medium,Management,testing,SAaS services,no,Dictionaries,Technical,hard worker,yes,yes,Applications Developer
2,2,2,7,yes,yes,shell programming,data science,excellent,medium,Computer Architecture,cloud computing,Finance,yes,Self help,Management,hard worker,yes,no,Applications Developer
2,6,5,1,no,no,distro making,game development,poor,poor,hacking,system developer,Finance,yes,Guide,Management,hard worker,no,yes,Applications Developer
8,6,4,5,yes,yes,shell programming,system designing,medium,excellent,cloud computing,developer,Sales and Marketing,no,Comics,Technical,smart worker,no,yes,Applications Developer
5,3,2,7,no,no,r programming,web technologies,excellent,poor,networks,cloud computing,Testing and Maintainance Services,no,Drama,Technical,smart worker,yes,no,Applications Developer
8,0,8,2,no,yes,python,game development,medium,excellent,Management,Business process analyst,BPA,no,Journals,Management,hard worker,no,no,Applications Developer
2,2,1,7,yes,yes,app development,data science,excellent,medium,data engineering,security,Web Services,yes,History,Technical,smart worker,yes,yes,Applications Developer
5,4,5,9,no,yes,shell programming,system designing,poor,medium,Computer Architecture,system developer,Testing and Maintainance Services,yes,Autobiographies,Management,smart worker,yes,yes,Applications Developer
9,0,4,2,yes,yes,shell programming,testing,poor,poor,hacking,cloud computing,Testing and Maintainance Services,no,Autobiographies,Technical,smart worker,no,no,Applications Developer
5,3,7,7,no,no,r programming,database security,excellent,medium,networks,security,Web Services,yes,Trilogy,Technical,smart worker,yes,yes,Applications Developer
4,2,8,2,yes,no,hadoop,web technologies,medium,medium,Management,cloud computing,Sales and Marketing,no,Math,Management,hard worker,yes,no,Applications Developer
9,1,7,7,yes,no,information security,game development,excellent,poor,Computer Architecture,cloud computing,Cloud Services,no,Journals,Technical,hard worker,yes,yes,Applications Developer
5,5,1,8,yes,yes,shell programming,system designing,excellent,medium,hacking,developer,Finance,yes,Dictionaries,Technical,hard worker,yes,yes,Applications Developer
1,1,1,9,yes,no,app development,cloud computing,poor,medium,Computer Architecture,developer,Service Based,no,Trilogy,Technical,smart worker,no,no,Applications Developer
7,4,6,9,yes,no,machine learning,testing,medium,poor,networks,testing,Sales and Marketing,no,Fantasy,Management,smart worker,no,yes,Applications Developer
3,1,6,5,no,yes,machine learning,data science,poor,poor,Software Engineering,system developer,Service Based,no,Cookbooks,Management,hard worker,yes,no,Applications Developer
6,0,5,7,no,no,app development,game development,poor,excellent,Software Engineering,security,Product based,no,Guide,Technical,smart worker,no,no,Applications Developer
1,5,5,5,yes,yes,shell programming,testing,medium,medium,data engineering,Business process analyst,Service Based,no,Childrens,Management,hard worker,yes,yes,Applications Developer
4,3,1,9,yes,yes,machine learning,cloud computing,medium,excellent,Computer Architecture,testing,Sales and Marketing,yes,Dictionaries,Management,hard worker,yes,yes,Applications Developer
1,2,3,8,yes,yes,python,system designing,medium,poor,data engineering,security,BPA,yes,Art,Technical,hard worker,no,yes,Applications Developer
5,1,5,4,no,no,machine learning,game development,poor,medium,parallel computing,developer,Cloud Services,yes,Childrens,Technical,smart worker,yes,no,Applications Developer
9,4,9,4,yes,no,hadoop,web technologies,poor,excellent,Software Engineering,testing,Product based,yes,Childrens,Management,hard worker,no,yes,Applications Developer
2,1,9,8,yes,yes,python,hacking,poor,medium,cloud computing,system developer,Cloud Services,yes,Cookbooks,Management,hard worker,no,yes,Applications Developer
4,4,5,1,no,yes,shell programming,hacking,poor,medium,programming,system developer,Testing and Maintainance Services,yes,Science,Technical,smart worker,yes,no,Applications Developer
1,5,5,9,yes,no,full stack,system designing,medium,poor,Software Engineering,developer,Service Based,no,Health,Management,hard worker,yes,yes,Applications Developer
1,3,7,3,yes,yes,r programming,database security,medium,poor,programming,system developer,Product based,yes,Poetry,Management,smart worker,yes,no,Applications Developer
7,5,2,8,no,no,full stack,testing,medium,poor,networks,developer,product development,yes,Self help,Management,smart worker,no,no,Applications Developer
8,4,9,4,yes,no,information security,cloud computing,poor,excellent,IOT,developer,Web Services,no,Health,Management,hard worker,yes,no,Applications Developer
1,2,3,5,no,no,full stack,game development,poor,poor,Computer Architecture,system developer,product development,no,Horror,Technical,smart worker,yes,yes,Applications Developer
5,6,7,9,yes,yes,distro making,cloud computing,poor,excellent,parallel computing,testing,SAaS services,yes,Satire,Technical,smart worker,no,no,Applications Developer
9,6,3,5,no,no,app development,hacking,medium,excellent,Computer Architecture,security,product development,yes,Anthology,Management,hard worker,yes,yes,Applications Developer
4,6,1,9,yes,no,shell programming,cloud computing,excellent,medium,parallel computing,cloud computing,Testing and Maintainance Services,no,Self help,Technical,hard worker,no,yes,Applications Developer
6,1,7,4,no,yes,information security,web technologies,excellent,excellent,parallel computing,Business process analyst,Finance,yes,History,Technical,smart worker,no,yes,Applications Developer
6,0,7,7,yes,yes,app development,game development,poor,medium,parallel computing,testing,product development,no,Satire,Technical,hard worker,yes,no,Applications Developer
4,5,1,4,yes,no,shell programming,game development,medium,medium,hacking,Business process analyst,Product based,yes,Action and Adventure,Management,smart worker,no,no,Applications Developer
4,4,8,4,no,no,distro making,cloud computing,poor,poor,programming,Business process analyst,BPA,no,Fantasy,Technical,smart worker,no,yes,Applications Developer
6,4,2,7,no,no,distro making,database security,poor,excellent,networks,security,SAaS services,no,Health,Management,smart worker,yes,no,Applications Developer
1,0,6,6,no,yes,hadoop,system designing,excellent,excellent,cloud computing,security,Testing and Maintainance Services,yes,Health,Management,hard worker,no,yes,Applications Developer
3,1,5,4,no,yes,full stack,data science,medium,poor,Computer Architecture,developer,Finance,yes,Romance,Management,hard worker,yes,no,Applications Developer
8,4,4,9,yes,no,app development,testing,medium,excellent,parallel computing,cloud computing,Product based,yes,Romance,Management,smart worker,no,yes,Applications Developer
5,4,3,6,no,no,app development,web technologies,medium,medium,networks,cloud computing,product development,no,Drama,Technical,smart worker,no,no,Applications Developer
1,5,2,7,yes,no,python,database security,excellent,poor,cloud computing,system developer,Finance,no,Biographies,Technical,hard worker,no,yes,Applications Developer
4,0,5,5,no,no,shell programming,data science,medium,excellent,Management,cloud computing,Sales and Marketing,yes,Horror,Management,hard worker,yes,yes,Applications Developer
3,0,3,5,yes,yes,shell programming,hacking,medium,medium,programming,cloud computing,Finance,no,Health,Technical,hard worker,no,no,Applications Developer
2,6,3,2,yes,yes,full stack,database security,excellent,poor,networks,cloud computing,BPA,yes,Science,Management,smart worker,no,no,Applications Developer
2,1,7,1,no,no,machine learning,game development,poor,poor,parallel computing,Business process analyst,Testing and Maintainance Services,no,Diaries,Management,hard worker,no,yes,Applications Developer
6,4,9,2,no,yes,full stack,hacking,excellent,poor,Software Engineering,security,Finance,yes,Autobiographies,Technical,hard worker,yes,no,Applications Developer
3,3,6,3,yes,no,shell programming,database security,medium,poor,Management,testing,Product based,yes,Self help,Technical,hard worker,no,yes,Applications Developer
3,5,5,7,yes,yes,r programming,data science,poor,excellent,hacking,cloud computing,Web Services,yes,Series,Management,smart worker,no,yes,Applications Developer
7,1,6,5,yes,no,shell programming,database security,medium,excellent,Computer Architecture,security,Testing and Maintainance Services,no,Poetry,Technical,hard worker,no,yes,Applications Developer
3,5,4,1,no,no,shell programming,web technologies,medium,excellent,cloud computing,system developer,Sales and Marketing,no,Mystery,Technical,hard worker,no,no,Applications Developer
6,3,3,4,no,yes,shell programming,system designing,excellent,medium,cloud computing,security,Cloud Services,no,Science fiction,Management,smart worker,yes,yes,Applications Developer
1,0,7,8,yes,no,python,system designing,poor,medium,parallel computing,developer,Product based,no,Prayer books,Technical,hard worker,yes,no,Applications Developer
6,6,2,5,yes,no,machine learning,web technologies,excellent,excellent,programming,testing,Web Services,no,Series,Technical,hard worker,yes,yes,Applications Developer
6,0,7,8,yes,yes,hadoop,game development,medium,medium,cloud computing,Business process analyst,Product based,no,Travel,Management,hard worker,yes,yes,Applications Developer
1,4,6,6,no,yes,python,testing,poor,excellent,hacking,security,Product based,no,Horror,Management,smart worker,yes,no,Applications Developer
5,6,2,2,no,no,r programming,database security,medium,excellent,hacking,developer,SAaS services,no,Series,Technical,smart worker,no,no,Applications Developer
5,5,2,3,no,no,shell programming,hacking,excellent,poor,IOT,cloud computing,Finance,no,Cookbooks,Management,smart worker,no,yes,Applications Developer
6,3,3,6,no,no,shell programming,testing,excellent,excellent,Management,cloud computing,Testing and Maintainance Services,no,Trilogy,Management,smart worker,no,yes,Applications Developer
4,3,2,5,yes,no,python,web technologies,poor,poor,IOT,developer,SAaS services,yes,Religion-Spirituality,Technical,smart worker,yes,yes,Applications Developer
2,2,7,8,no,yes,information security,data science,excellent,medium,Computer Architecture,system developer,Finance,no,Horror,Technical,smart worker,yes,no,Applications Developer
6,6,4,1,yes,no,shell programming,system designing,excellent,excellent,IOT,Business process analyst,BPA,no,Biographies,Technical,hard worker,yes,no,Applications Developer
6,3,9,1,no,yes,distro making,web technologies,poor,medium,Management,developer,Sales and Marketing,yes,Trilogy,Management,hard worker,no,no,Applications Developer
3,0,7,3,yes,yes,full stack,testing,poor,excellent,programming,cloud computing,Product based,no,Biographies,Technical,smart worker,no,yes,Applications Developer
9,2,5,9,no,no,distro making,data science,poor,excellent,Management,cloud computing,product development,yes,Health,Management,smart worker,yes,yes,Applications Developer
3,2,4,1,yes,no,machine learning,database security,medium,excellent,IOT,cloud computing,product development,no,Science fiction,Technical,hard worker,yes,yes,Applications Developer
3,5,1,5,no,no,app development,web technologies,medium,poor,cloud computing,developer,Service Based,yes,Mystery,Management,smart worker,yes,no,Applications Developer
2,2,2,2,yes,no,shell programming,testing,medium,poor,parallel computing,developer,Web Services,yes,Mystery,Technical,smart worker,yes,yes,Applications Developer
5,3,9,6,yes,yes,distro making,hacking,excellent,medium,hacking,developer,Service Based,no,Anthology,Management,hard worker,no,yes,Applications Developer
6,6,4,3,no,yes,shell programming,game development,excellent,medium,parallel computing,system developer,Finance,no,Health,Management,hard worker,no,no,Applications Developer
3,4,1,1,yes,no,hadoop,data science,poor,medium,IOT,cloud computing,Web Services,yes,Health,Technical,smart worker,yes,no,Applications Developer
9,4,4,2,no,no,shell programming,game development,poor,excellent,IOT,Business process analyst,Service Based,yes,Action and Adventure,Management,hard worker,yes,yes,Applications Developer
4,0,6,4,no,no,r programming,data science,excellent,poor,Computer Architecture,developer,Sales and Marketing,no,Guide,Technical,hard worker,yes,yes,Applications Developer
1,3,7,5,no,no,r programming,database security,poor,poor,hacking,security,BPA,no,Diaries,Technical,hard worker,no,yes,Applications Developer
4,3,8,9,no,no,machine learning,game development,medium,poor,networks,testing,Service Based,no,Cookbooks,Technical,smart worker,no,no,Applications Developer
4,0,8,7,yes,no,shell programming,cloud computing,medium,poor,cloud computing,security,Finance,no,Biographies,Management,smart worker,yes,no,Applications Developer
8,5,1,4,yes,no,hadoop,testing,excellent,excellent,Computer Architecture,system developer,Web Services,yes,Drama,Technical,hard worker,no,no,Applications Developer
4,6,2,8,no,yes,distro making,web technologies,excellent,medium,programming,cloud computing,Sales and Marketing,yes,Math,Management,hard worker,no,no,Applications Developer
5,3,7,3,no,no,hadoop,system designing,poor,poor,Management,system developer,SAaS services,no,Guide,Technical,smart worker,no,no,Applications Developer
2,2,2,3,yes,yes,hadoop,game development,excellent,excellent,Computer Architecture,Business process analyst,Cloud Services,no,Romance,Management,smart worker,no,no,Applications Developer
8,1,2,8,no,no,hadoop,game development,medium,excellent,parallel computing,testing,Finance,no,Biographies,Technical,hard worker,yes,yes,Applications Developer
2,3,4,8,yes,no,shell programming,game development,medium,excellent,programming,system developer,Web Services,yes,Poetry,Technical,hard worker,yes,no,Applications Developer
2,5,9,1,no,no,shell programming,system designing,excellent,poor,programming,system developer,product development,no,Romance,Management,hard worker,no,yes,Applications Developer
7,4,9,3,yes,no,app development,data science,poor,excellent,Software Engineering,cloud computing,Cloud Services,no,Guide,Technical,smart worker,no,yes,Applications Developer
5,3,6,4,no,yes,distro making,cloud computing,medium,poor,Management,testing,Finance,no,Guide,Technical,hard worker,yes,no,Applications Developer
6,3,2,7,yes,yes,hadoop,hacking,medium,excellent,parallel computing,developer,SAaS services,yes,Encyclopedias,Technical,hard worker,yes,no,Applications Developer
9,0,1,5,no,yes,machine learning,web technologies,excellent,medium,parallel computing,Business process analyst,Cloud Services,yes,Math,Management,smart worker,yes,no,Applications Developer
4,3,6,7,no,yes,machine learning,hacking,excellent,medium,Computer Architecture,developer,Sales and Marketing,yes,Religion-Spirituality,Management,smart worker,yes,no,Applications Developer
6,1,1,6,no,no,machine learning,cloud computing,excellent,excellent,programming,developer,Cloud Services,no,Autobiographies,Technical,smart worker,yes,no,Applications Developer
5,0,7,2,yes,yes,python,cloud computing,poor,poor,cloud computing,Business process analyst,BPA,yes,Dictionaries,Technical,smart worker,no,yes,Applications Developer
7,3,8,9,yes,yes,full stack,hacking,medium,excellent,cloud computing,Business process analyst,Cloud Services,yes,Encyclopedias,Management,smart worker,yes,no,Applications Developer
6,0,6,4,no,yes,python,hacking,poor,medium,programming,testing,Service Based,yes,Biographies,Management,smart worker,yes,yes,Applications Developer
5,4,6,3,yes,no,full stack,testing,poor,medium,cloud computing,system developer,Web Services,yes,Math,Management,smart worker,yes,yes,Applications Developer
2,2,4,6,yes,yes,shell programming,data science,medium,excellent,programming,security,Product based,no,Fantasy,Management,smart worker,no,yes,Applications Developer
2,0,1,8,yes,yes,distro making,data science,poor,medium,programming,Business process analyst,Testing and Maintainance Services,yes,Mystery,Technical,smart worker,no,no,Applications Developer
4,6,8,3,no,no,machine learning,data science,excellent,medium,Management,Business process analyst,Sales and Marketing,no,Trilogy,Technical,smart worker,no,yes,Applications Developer
7,6,3,9,no,yes,full stack,system designing,medium,poor,Computer Architecture,testing,Web Services,yes,Cookbooks,Technical,hard worker,yes,yes,Applications Developer
4,6,8,4,yes,yes,information security,database security,excellent,poor,cloud computing,testing,Testing and Maintainance Services,no,Horror,Management,hard worker,no,no,Applications Developer
4,5,7,4,yes,yes,information security,game development,poor,poor,Management,Business process analyst,Product based,yes,Romance,Technical,hard worker,no,yes,Applications Developer
4,3,2,1,no,no,information security,hacking,poor,medium,IOT,system developer,Testing and Maintainance Services,no,Romance,Management,smart worker,yes,yes,Applications Developer
7,0,6,6,yes,yes,python,system designing,excellent,poor,data engineering,system developer,SAaS services,no,Mystery,Technical,hard worker,yes,yes,Applications Developer
1,1,5,3,yes,yes,hadoop,database security,excellent,medium,IOT,cloud computing,product development,no,Prayer books,Management,smart worker,yes,no,Applications Developer
9,5,9,6,no,no,hadoop,hacking,medium,excellent,IOT,developer,Service Based,yes,Science,Management,smart worker,no,yes,Applications Developer
3,2,4,2,no,no,hadoop,system designing,medium,medium,data engineering,developer,Sales and Marketing,yes,Travel,Technical,smart worker,no,yes,Applications Developer
2,6,7,4,yes,yes,full stack,data science,poor,poor,Management,system developer,Testing and Maintainance Services,yes,Health,Technical,hard worker,yes,yes,Applications Developer
1,6,8,1,no,no,shell programming,system designing,medium,medium,hacking,testing,Finance,no,Cookbooks,Management,smart worker,yes,no,Applications Developer
6,5,5,6,no,yes,hadoop,system designing,medium,medium,data engineering,testing,Sales and Marketing,no,Travel,Management,hard worker,no,yes,Applications Developer
1,1,7,7,no,no,information security,testing,poor,medium,data engineering,security,SAaS services,yes,Autobiographies,Technical,hard worker,no,yes,Applications Developer
1,6,7,9,no,yes,information security,database security,medium,poor,hacking,cloud computing,SAaS services,yes,Autobiographies,Management,hard worker,no,yes,Applications Developer
8,6,2,1,no,yes,r programming,data science,medium,medium,cloud computing,security,Web Services,no,Guide,Technical,hard worker,no,no,Applications Developer
5,4,7,1,yes,no,information security,system designing,medium,medium,hacking,cloud computing,Sales and Marketing,yes,Self help,Management,smart worker,no,no,Applications Developer
6,1,1,7,no,yes,full stack,hacking,medium,medium,Software Engineering,system developer,SAaS services,no,Prayer books,Technical,smart worker,yes,yes,Applications Developer
3,4,3,3,yes,yes,python,game development,poor,medium,networks,security,Sales and Marketing,no,Journals,Technical,smart worker,no,no,Applications Developer
